Date,SP500_Index,SP500_Daily_Pct,SP500_30D_Return_Pct,SP500_30D_Ann_Vol_Pct,SP500_Drawdown_Pct,NASDAQ_Index,NASDAQ_Daily_Pct,NASDAQ_30D_Return_Pct,NASDAQ_30D_Ann_Vol_Pct,NASDAQ_Drawdown_Pct,MSCI_World_Index,MSCI_World_Daily_Pct,MSCI_World_30D_Return_Pct,MSCI_World_30D_Ann_Vol_Pct,MSCI_World_Drawdown_Pct
2025-02-18,4800.0,0.0,0.0,,0.0,15000.0,0.0,0.0,,0.0,3000.0,0.0,0.0,,0.0
2025-02-19,4834.34,0.7154,0.0,8.0305,0.0,15346.83,2.3122,0.0,25.9544,0.0,3016.9,0.5633,0.0,6.3234,0.0
2025-02-20,4770.25,-1.3257,0.0,16.4407,-1.3257,15222.6,-0.8095,0.0,25.7167,-0.8095,3060.98,1.4611,0.0,11.698,0.0
2025-02-21,4741.53,-0.6021,0.0,13.7916,-1.9198,15393.69,1.1239,0.0,21.5721,0.0,3058.67,-0.0755,0.0,11.2558,-0.0755
2025-02-22,4738.03,-0.0738,0.0,12.0543,-1.9922,15510.12,0.7563,0.0,18.6953,0.0,3032.82,-0.8451,0.0,13.5828,-0.92
2025-02-23,4835.87,2.065,0.0,18.5132,0.0,15427.56,-0.5323,0.0,18.466,-0.5323,3064.62,1.0485,0.0,13.2805,0.0
2025-02-24,4900.82,1.3431,0.0,18.4014,0.0,15390.06,-0.2431,0.0,17.3991,-0.7741,3056.94,-0.2506,0.0,12.6626,-0.2506
2025-02-25,4892.28,-0.1743,0.0,17.2458,-0.1743,15610.96,1.4353,0.0,17.1774,0.0,3047.12,-0.3212,0.0,12.1865,-0.571
2025-02-26,4928.65,0.7434,0.0,16.3474,0.0,15289.7,-2.0579,0.0,21.0274,-2.0579,2987.52,-1.9559,0.0,16.1183,-2.5158
2025-02-27,4939.22,0.2145,0.0,15.4184,0.0,15457.88,1.1,0.0,20.3104,-0.9806,2984.66,-0.0957,0.0,15.1989,-2.6091
2025-02-28,4892.02,-0.9556,0.0,15.7965,-0.9556,15716.26,1.6715,0.0,20.3426,0.0,3000.15,0.519,0.0,14.6713,-2.1037
2025-03-01,4855.03,-0.7561,0.0,15.657,-1.7045,15589.24,-0.8082,0.0,20.212,-0.8082,2975.36,-0.8263,0.0,14.4972,-2.9126
2025-03-02,4808.07,-0.9672,0.0,15.7089,-2.6553,15896.51,1.971,0.0,20.6578,0.0,2997.92,0.7582,0.0,14.3453,-2.1765
2025-03-03,4805.07,-0.0624,0.0,15.0964,-2.716,16066.59,1.0699,0.0,20.0179,0.0,2972.2,-0.8579,0.0,14.2534,-3.0157
2025-03-04,4813.25,0.1702,0.0,14.5618,-2.5504,16302.91,1.4709,0.0,19.6966,0.0,2956.84,-0.5168,0.0,13.8604,-3.5169
2025-03-05,4733.79,-1.6509,0.0,15.5564,-4.1592,16287.05,-0.0973,0.0,19.2088,-0.0973,2932.88,-0.8103,0.0,13.6897,-4.2987
2025-03-06,4782.46,1.0281,0.0,15.6574,-3.1738,16072.09,-1.3198,0.0,19.9058,-1.4158,2910.48,-0.7638,0.0,13.4723,-5.0297
2025-03-07,4785.15,0.0562,0.0,15.1924,-3.1193,15997.29,-0.4654,0.0,19.59,-1.8746,2873.87,-1.2579,0.0,13.684,-6.2243
2025-03-08,4778.78,-0.1331,0.0,14.7708,-3.2483,15535.11,-2.8891,0.0,22.4261,-4.7096,2864.94,-0.3107,0.0,13.3014,-6.5157
2025-03-09,4765.03,-0.2877,0.0,14.4084,-3.5267,15371.22,-1.055,0.0,22.2737,-5.7149,2854.35,-0.3696,0.0,12.9549,-6.8612
2025-03-10,4837.92,1.5297,0.0,15.0503,-2.0509,15509.36,0.8987,0.0,21.8717,-4.8675,2846.29,-0.2824,0.0,12.6275,-7.1242
2025-03-11,4830.34,-0.1567,0.0,14.703,-2.2044,15341.23,-1.0841,0.0,21.7613,-5.8988,2850.04,0.1318,0.0,12.3898,-7.0018
2025-03-12,4823.09,-0.1501,0.0,14.3777,-2.3512,15421.61,0.5239,0.0,21.3048,-5.4058,2809.39,-1.4263,0.0,12.7362,-8.3283
2025-03-13,4856.85,0.7,0.0,14.2308,-1.6677,15839.92,2.7125,0.0,22.4551,-2.8399,2819.83,0.3716,0.0,12.635,-7.9876
2025-03-14,4857.84,0.0204,0.0,13.9316,-1.6476,15732.82,-0.6761,0.0,22.1726,-3.4969,2832.6,0.4529,0.0,12.5713,-7.5709
2025-03-15,4894.81,0.761,0.0,13.8276,-0.8991,15805.27,0.4605,0.0,21.7397,-3.0525,2827.81,-0.1691,0.0,12.3186,-7.7272
2025-03-16,4899.85,0.103,0.0,13.5593,-0.7971,15493.22,-1.9743,0.0,22.338,-4.9665,2840.49,0.4484,0.0,12.2529,-7.3135
2025-03-17,4903.95,0.0837,0.0,13.3058,-0.7141,15688.77,1.2622,0.0,22.1822,-3.7671,2837.77,-0.0958,0.0,12.0279,-7.4022
2025-03-18,4960.78,1.1589,0.0,13.4476,0.0,15885.86,1.2562,0.0,22.0167,-2.5581,2880.21,1.4955,0.0,12.8201,-6.0174
2025-03-19,4958.94,-0.0371,0.0,13.2213,-0.0371,15754.3,-0.8282,0.0,21.8409,-3.3651,2905.36,0.8732,0.0,12.933,-5.1967
2025-03-20,4918.06,-0.8244,2.4596,13.495,-0.8612,15560.73,-1.2287,3.7382,22.2125,-4.5524,2924.44,0.6567,-2.5187,13.1175,-4.5741
2025-03-21,4861.08,-1.1586,0.5531,13.8227,-2.0098,15475.39,-0.5484,0.8377,21.3012,-5.0759,2890.53,-1.1595,-4.1887,13.33,-5.6806
2025-03-22,4864.7,0.0745,1.98,13.2189,-1.9368,15228.11,-1.5979,0.0362,21.6922,-6.5927,2890.08,-0.0156,-5.5832,12.4474,-5.6953
2025-03-23,4821.64,-0.8852,1.6895,13.3683,-2.8048,15340.86,0.7404,-0.3432,21.5491,-5.9011,2906.49,0.5678,-4.9754,12.6363,-5.1599
2025-03-24,4856.79,0.729,2.5065,13.5007,-2.0962,15557.36,1.4113,0.3046,21.8313,-4.5731,2929.22,0.782,-3.416,12.7568,-4.4182
2025-03-25,4870.56,0.2835,0.7173,12.1514,-1.8187,15585.46,0.1806,1.0235,21.7725,-4.4007,2927.46,-0.0601,-4.4756,12.2755,-4.4756
2025-03-26,4857.34,-0.2714,-0.8872,11.5159,-2.0852,15224.86,-2.3137,-1.0734,22.8112,-6.6126,2976.72,1.6827,-2.6242,13.3675,-2.8682
2025-03-27,4828.53,-0.5931,-1.3031,11.6258,-2.6659,15549.83,2.1345,-0.3916,23.2855,-4.6193,2988.11,0.3826,-1.9366,13.4151,-2.4966
2025-03-28,4826.23,-0.0476,-2.0781,11.3856,-2.7123,15651.75,0.6554,2.3679,22.5197,-3.9941,2972.78,-0.513,-0.4934,12.2455,-2.9968
2025-03-29,4854.24,0.5804,-1.7205,11.513,-2.1476,15703.32,0.3295,1.5878,22.3287,-3.6778,2956.65,-0.5426,-0.9385,12.3396,-3.5231
2025-03-30,4894.66,0.8327,0.054,11.4643,-1.3329,15379.63,-2.0613,-2.1419,22.6099,-5.6633,2970.11,0.4552,-1.0013,12.3164,-3.0839
2025-03-31,4840.92,-1.0979,-0.2906,11.7017,-2.4162,15360.87,-0.122,-1.4649,22.5004,-5.7784,2990.77,0.6956,0.5179,12.2517,-2.4098
2025-04-01,4929.46,1.829,2.5247,12.4879,-0.6314,15373.61,0.0829,-3.2894,21.685,-5.7002,3005.49,0.4922,0.2525,12.1362,-1.9294
2025-04-02,4900.62,-0.5851,1.9885,12.6329,-1.2127,15398.69,0.1631,-4.1571,21.4167,-5.5464,3001.69,-0.1264,0.9922,11.8631,-2.0534
2025-04-03,4847.36,-1.0868,0.7087,13.0631,-2.2863,15519.56,0.7849,-4.805,21.0597,-4.805,3029.97,0.9421,2.4732,12.0252,-1.1306
2025-04-04,4919.81,1.4946,3.9296,12.7296,-0.8259,15353.19,-1.072,-5.7338,21.2251,-5.8255,2993.61,-1.2,2.0707,12.3264,-2.3171
2025-04-05,4977.56,1.1738,4.0795,12.8254,0.0,15259.97,-0.6072,-5.053,20.9941,-6.3973,2979.39,-0.475,2.3677,12.184,-2.7811
2025-04-06,5022.73,0.9075,4.9649,13.015,0.0,15112.92,-0.9636,-5.5282,21.1056,-7.2992,2984.01,0.1551,3.8325,11.5041,-2.6303
2025-04-07,4991.91,-0.6136,4.4599,13.184,-0.6136,15071.45,-0.2744,-2.9846,19.4886,-7.5536,3006.0,0.7369,4.9237,11.5575,-1.9128
2025-04-08,5043.52,1.0339,5.8445,13.359,0.0,14719.59,-2.3346,-4.2393,20.37,-9.7119,3018.36,0.4112,5.746,11.4661,-1.5095
2025-04-09,5039.37,-0.0823,4.164,12.7609,-0.0823,14908.87,1.2859,-3.8718,20.5709,-8.5509,2992.51,-0.8564,5.1372,11.7873,-2.353
